"status";"network";"netmask";"nexthop";"metric";"locprf";"weight";"path";"origin"
"*";"1.0.0.0";"24";"200.219.145.45";NA;NA;0;"28135 18881 3549 15169";"i"
"*";"1.22.103.0";"24";"200.219.145.45";NA;NA;0;"28135 18881 3549 6453 4755 45528";"i"
"*>";"1.22.103.0";"24";"200.219.145.23";NA;NA;0;"53242 12956 6453 4755 45528";"i"
"*";"1.23.20.0";"24";"200.219.145.45";NA;NA;0;"28135 18881 3549 6453 4755 45528";"i"
"*>";"1.23.20.0";"24";"200.219.145.23";NA;NA;0;"53242 12956 6453 4755 45528";"i"
"*";"1.23.170.0";"24";"200.219.145.45";NA;NA;0;"28135 18881 3549 6453 4755 45528";"i"
"*>";"1.23.170.0";"24";"200.219.145.23";NA;NA;0;"53242 12956 6453 4755 45528";"i"
"*";"1.23.171.0";"24";"200.219.145.45";NA;NA;0;"28135 18881 3549 6453 4755 45528";"i"
"*>";"76.14.128.0";"20";"200.219.145.23";NA;NA;0;"53242 12956 2828 22759";"i"
"*";"76.14.144.0";"20";"200.219.145.45";NA;NA;0;"28135 18881 3549 2828 22759";"i"
"*>";"76.14.144.0";"20";"200.219.145.23";NA;NA;0;"53242 12956 2828 22759";"i"
"*";"76.14.160.0";"20";"200.219.145.45";NA;NA;0;"28135 18881 3549 2828 22759";"i"
"*";"197.28.200.0";"21";"200.219.145.45";NA;NA;0;"28135 18881 3549 3356 37492";"i"
"*>";"197.28.208.0";"20";"200.219.145.23";NA;NA;0;"53242 12956 5511 37492";"i"
"*";"197.28.208.0";"20";"200.219.145.45";NA;NA;0;"28135 18881 3549 3356 37492";"i"
"*>";"197.28.208.0";"21";"200.219.145.23";NA;NA;0;"53242 12956 3356 37492";"i"
"*";"197.28.208.0";"21";"200.219.145.45";NA;NA;0;"28135 18881 3549 3356 37492";"i"
"*>";"197.28.216.0";"21";"200.219.145.23";NA;NA;0;"53242 12956 3356 37492";"i"
"*";"197.28.216.0";"21";"200.219.145.45";NA;NA;0;"28135 18881 3549 3356 37492";"i"
"*>";"197.28.224.0";"21";"200.219.145.23";NA;NA;0;"53242 12956 5511 37492";"i"
"*";"197.28.224.0";"21";"200.219.145.45";NA;NA;0;"28135 18881 3549 3356 37492";"i"
"*>";"197.28.224.0";"22";"200.219.145.23";NA;NA;0;"53242 12956 3356 37492";"i"
"*";"197.28.224.0";"22";"200.219.145.45";NA;NA;0;"28135 18881 3549 3356 37492";"i"
"*>";"197.28.228.0";"22";"200.219.145.23";NA;NA;0;"53242 12956 3356 37492";"i"
